personen_kaufmannsklassenId,personenId,kaufmannsklassenId
498,25274,7.0
499,8107,7.0
500,46479,7.0
501,18243,7.0
502,46480,7.0
503,29389,7.0
504,46481,7.0
505,46482,7.0
506,46483,7.0
507,9904,7.0
508,46484,7.0
509,16579,7.0
510,46485,7.0
511,46486,7.0
512,46487,7.0
513,46488,7.0
514,46489,7.0
515,17713,7.0
516,46490,7.0
517,30048,2.0
518,12260,2.0
519,46492,2.0
520,15932,1.0
521,46493,1.0
522,8593,1.0
523,22363,1.0
524,46496,7.0
525,46497,7.0
526,46498,7.0
527,46499,7.0
528,46500,7.0
529,46501,7.0
530,46502,7.0
531,46503,7.0
532,39393,2.0
533,46504,2.0
534,25804,7.0
535,46506,7.0
536,46507,7.0
537,46508,7.0
538,46509,1.0
539,46510,7.0
540,46511,7.0
541,46515,7.0
542,46516,7.0
543,46518,7.0
544,46519,7.0
545,46520,7.0
546,46521,1.0
547,8148,1.0
548,30066,1.0
549,46522,1.0
550,23197,1.0
551,46523,7.0
552,46524,7.0
553,46525,9.0
554,46527,7.0
555,46528,7.0
556,46529,7.0
557,46530,7.0
558,30193,7.0
559,42340,7.0
560,46533,7.0
561,46534,7.0
562,46535,7.0
563,46536,7.0
564,46537,7.0
565,46538,7.0
566,46542,7.0
567,38549,7.0
568,46543,7.0
569,46544,7.0
570,46545,7.0
571,46548,7.0
572,46550,7.0
573,46551,7.0
574,46553,7.0
575,46554,7.0
576,46556,7.0
577,46557,7.0
578,46559,7.0
579,43924,7.0
580,10641,7.0
581,46560,7.0
582,46561,7.0
583,46562,7.0
584,46563,7.0
585,46564,7.0
586,46566,7.0
587,46570,7.0
588,46572,7.0
589,46574,7.0
590,46575,7.0
591,46576,7.0
592,46577,2.0
593,9919,1.0
594,46578,1.0
596,46579,7.0
597,43786,7.0
598,46580,7.0
599,8584,7.0
600,46581,7.0
601,46582,7.0
602,30445,7.0
603,11690,7.0
604,46583,7.0
605,46584,7.0
606,46585,7.0
607,26963,7.0
608,46586,7.0
609,9740,7.0
610,46587,7.0
611,43789,7.0
612,46588,7.0
613,15941,7.0
614,46589,7.0
615,46590,2.0
616,43790,2.0
617,15439,7.0
618,46591,7.0
619,46592,7.0
620,46593,7.0
621,46594,7.0
622,28699,7.0
623,46595,7.0
624,20402,7.0
625,22543,1.0
626,46596,1.0
627,15550,1.0
628,46597,1.0
629,43793,9.0
630,41779,7.0
631,43797,7.0
632,46598,7.0
633,43799,7.0
634,46599,7.0
635,46293,7.0
636,43801,7.0
637,46601,7.0
638,7607,7.0
639,46602,7.0
640,10090,7.0
641,9739,7.0
642,46603,7.0
643,26346,7.0
644,46604,7.0
645,46605,7.0
646,43858,7.0
647,46606,7.0
648,36493,2.0
649,46607,2.0
650,34421,7.0
651,46608,7.0
652,43860,7.0
653,46609,7.0
654,46611,7.0
655,43862,7.0
656,46612,7.0
657,43865,7.0
658,46613,8.0
659,43819,8.0
660,17496,8.0
661,46614,8.0
662,16033,8.0
663,46615,8.0
664,11130,8.0
665,43820,8.0
666,43823,8.0
667,46616,8.0
668,43822,8.0
669,46617,8.0
670,46618,8.0
671,15480,8.0
672,29411,8.0
673,46619,8.0
674,43824,8.0
675,46620,8.0
676,16903,8.0
677,46621,8.0
678,43581,8.0
679,46622,8.0
680,46623,8.0
681,24326,8.0
682,43826,8.0
683,46624,8.0
684,43827,8.0
685,46625,8.0
686,15470,8.0
687,14160,8.0
688,9652,8.0
689,46626,8.0
690,18522,8.0
691,46627,8.0
692,43828,8.0
693,25401,8.0
694,43829,8.0
695,30361,8.0
696,43833,8.0
697,46628,8.0
698,46629,8.0
699,46630,8.0
700,43834,8.0
701,46631,8.0
702,9635,2.0
703,46632,2.0
704,46633,1.0
705,46634,7.0
706,46635,7.0
707,43867,7.0
708,46636,7.0
709,28298,7.0
710,46637,7.0
711,43869,7.0
712,43868,7.0
713,43870,7.0
714,46638,7.0
715,46639,7.0
716,43871,7.0
717,46640,7.0
718,43872,7.0
719,46641,7.0
720,46642,9.0
721,43874,7.0
722,46643,7.0
723,43876,7.0
724,46644,7.0
725,8590,2.0
726,46645,2.0
727,15430,7.0
728,43854,7.0
729,17119,7.0
730,22849,7.0
731,46646,7.0
732,46647,1.0
733,9606,1.0
734,46648,2.0
735,43855,7.0
736,46649,7.0
737,43850,7.0
738,43856,7.0
739,43857,7.0
740,8098,7.0
741,46650,7.0
742,13005,2.0
743,46651,2.0
744,46652,2.0
745,626,7.0
746,46653,7.0
747,23922,7.0
748,46654,7.0
749,8273,7.0
750,46655,7.0
751,46656,7.0
752,46657,7.0
753,46658,7.0
754,8109,7.0
755,8588,7.0
756,46659,7.0
757,46660,7.0
758,28424,7.0
759,46661,7.0
760,24594,7.0
761,46662,7.0
762,46663,7.0
763,46664,7.0
764,46665,7.0
765,46666,7.0
766,26325,7.0
767,44587,7.0
768,46667,7.0
769,46669,7.0
770,46670,7.0
771,18406,7.0
772,46672,7.0
773,46673,7.0
774,46674,7.0
775,46675,7.0
776,46676,7.0
777,43998,7.0
778,10181,7.0
779,46678,7.0
780,9869,1.0
781,46679,1.0
782,20834,2.0
783,46680,2.0
784,46681,1.0
785,23395,1.0
786,21607,1.0
787,46682,2.0
788,8183,2.0
789,46683,2.0
790,46684,2.0
791,46685,2.0
792,9826,7.0
793,46686,7.0
794,8489,1.0
795,46688,1.0
796,20473,1.0
797,46689,1.0
798,46692,2.0
799,46693,2.0
800,9396,7.0
801,46695,7.0
802,46698,1.0
803,11940,1.0
804,8334,1.0
805,46701,7.0
806,46702,7.0
807,5563,7.0
808,46703,7.0
809,8587,7.0
810,46704,7.0
811,9224,7.0
812,46708,7.0
813,9092,7.0
814,46709,7.0
815,46710,7.0
816,46711,7.0
817,43974,7.0
818,12131,7.0
819,18686,7.0
820,46712,7.0
821,23214,2.0
822,9089,2.0
823,46713,7.0
824,46714,7.0
825,46715,7.0
826,38711,7.0
827,13208,7.0
828,46716,7.0
829,9686,1.0
830,46717,1.0
831,16702,1.0
832,46718,1.0
833,9824,1.0
834,46719,7.0
835,46720,7.0
836,22544,7.0
837,11161,1.0
838,46722,7.0
839,46724,7.0
840,46725,7.0
841,15189,7.0
842,46726,7.0
843,29325,7.0
844,46727,7.0
845,46728,7.0
846,46729,7.0
847,43201,7.0
848,46730,7.0
849,46169,7.0
850,46733,2.0
851,46734,2.0
852,46735,7.0
853,46736,7.0
854,46738,7.0
855,46739,7.0
856,46743,7.0
857,46745,7.0
858,46746,7.0
859,46747,7.0
860,46748,7.0
861,46749,1.0
862,46752,1.0
863,46753,1.0
864,43802,1.0
865,43988,1.0
866,46754,1.0
867,46571,7.0
868,46758,7.0
869,43942,1.0
870,46760,7.0
871,46761,7.0
872,46764,7.0
873,46765,7.0
874,46769,7.0
875,46770,7.0
876,46772,7.0
877,17801,1.0
878,14663,1.0
879,9516,1.0
880,20532,1.0
881,46775,1.0
882,3431,1.0
883,46777,1.0
884,3658,1.0
885,46778,1.0
886,11217,7.0
887,46781,7.0
888,8089,9.0
889,46782,7.0
890,46783,9.0
891,46784,9.0
892,46786,9.0
893,12091,9.0
894,8266,1.0
895,46787,1.0
896,26314,2.0
897,46788,2.0
898,17343,2.0
899,46790,2.0
900,8811,7.0
901,46792,7.0
902,46793,2.0
903,46794,2.0
904,46795,7.0
905,46796,7.0
906,18870,7.0
907,46797,7.0
908,46798,7.0
909,46799,7.0
910,46800,7.0
911,46801,7.0
912,9014,7.0
913,46802,7.0
914,8514,7.0
915,46803,7.0
916,13796,7.0
917,46804,7.0
918,46806,7.0
919,46807,7.0
920,9319,7.0
921,46808,7.0
922,46809,7.0
923,46810,7.0
924,46811,1.0
925,46812,1.0
926,46813,7.0
927,46814,7.0
928,46815,7.0
929,46816,7.0
930,25095,7.0
931,46817,7.0
932,25421,7.0
933,20102,7.0
934,18524,7.0
935,46818,7.0
936,46819,7.0
937,27548,7.0
938,46820,7.0
939,10693,2.0
940,14941,2.0
941,46821,2.0
942,46823,2.0
943,46824,7.0
944,21313,7.0
945,46825,7.0
946,26145,7.0
947,46826,7.0
948,46827,7.0
949,46828,7.0
950,46771,7.0
951,46829,7.0
952,43853,7.0
953,46830,7.0
954,46831,7.0
955,46833,7.0
956,46834,7.0
957,46835,7.0
958,46836,7.0
959,46841,7.0
960,46842,7.0
961,46846,7.0
962,46785,9.0
963,46848,9.0
964,46849,9.0
965,9918,2.0
966,46853,2.0
967,46854,2.0
968,46855,2.0
969,46856,2.0
970,8416,2.0
971,10730,7.0
972,34278,2.0
973,8095,2.0
974,46857,2.0
975,35903,1.0
976,46858,1.0
977,9628,7.0
978,46859,7.0
979,46860,2.0
980,46861,2.0
981,8583,1.0
982,46862,1.0
983,3764,7.0
984,9684,1.0
985,1112,1.0
986,5827,1.0
987,11308,1.0
988,43918,7.0
989,46863,7.0
990,8405,7.0
991,46864,7.0
992,9093,7.0
993,46865,7.0
994,46866,7.0
995,8419,7.0
996,46867,7.0
997,46868,7.0
998,9008,7.0
999,46869,7.0
1000,46870,7.0
1001,46871,7.0
1002,46872,7.0
1003,21017,2.0
1004,46875,2.0
1005,46876,7.0
