personen_kremsId,personenId,art,handelsgut
575,302,2,Zwetschgen
576,302,,Nüsse
577,303,1,Tabak
578,304,,Wolle
579,305,2,Kastanien
580,306,,Käse
581,309,,Käse
582,307,2,Stockfisch
583,308,2,Kastanien
584,310,1,Wachs (spanisch)
585,311,2,Weiße Ware
586,4730,2,Öl
587,4730,2,Kastanien
588,4730,2,Tabak
589,313,2,Taschenmesser
590,313,2,Steyrer Krämerei
591,313,2,Spezerei
592,313,2,Materialware
593,313,2,Senf
594,313,2,Weinbeeren
595,313,2,Holzwaren
596,313,2,Kastanien
597,313,2,Zitronen
598,313,2,Baumwolle
599,313,2,Schwefel
600,313,2,Öl
601,313,2,Reis
602,313,2,Lorbeer
603,313,2,Safran
604,313,2,Zinnkraut
605,314,2,Häute (gearbeitet)
606,315,,Schmelztiegel
607,315,,Birnen
608,315,,Kirchenzier
609,318,,Geschmeide
610,319,2,Sensen
611,320,1,Federn
612,320,1,Schmalz
613,321,2,Tabak
614,322,2,Spezerei
615,322,2,Baumwolle
616,324,1,Nürnberger Ware
617,325,2,Öl
618,326,2,Schwefel
619,326,2,Haar
620,327,1,Haar
621,328,2,Krämerei
622,328,2,Leinwand
623,329,1,Krämerei
624,330,1,Leinöl
625,333,2,Rupfen
626,334,,Geschmeide
627,335,2,Öl
628,335,2,Drogen
629,336,2,Kreide
630,338,1,Schafwolle
631,339,2,Spezerei
632,339,2,Weinstein
633,340,2,Kastanien
634,341,2,Röte
635,342,2,Juchten
636,343,2,Krämerei
637,343,2,Kastanien
638,344,2,Krämerei
639,345,2,Krämerei
640,345,2,Nüsse
641,346,2,Nüsse
642,347,2,Krämerei
643,348,,Beschlagenes Gut
644,348,2,Wein
645,351,2,Spezerei
646,351,2,Schwefel
647,352,2,Senf
648,354,,Seide
649,355,1,Schmalz
650,355,1,Käse
651,357,2,Harrasware
652,357,2,Prisil
653,357,2,Farbzeug
654,358,2,Krämerei
655,359,,Früchte
656,361,2,Federn
657,362,2,Kastanien
658,366,1,Harrasware
659,366,1,Baumwollware
660,366,1,Strümpfe
661,367,,Mandeln
662,367,,Feigen
663,367,,Safran
664,367,,Geschmeide
665,364,1,Harrasware
666,369,,Salpeter
667,370,2,Ochsenhäute
668,373,,Tuch
669,373,,Juchten
670,374,,Tuch
671,375,1,Türkisches Garn
672,375,2,Indigo
673,375,2,Wolle
674,375,,Alaun
675,375,2,Schafwolle
676,376,,Juchten
677,378,1,Kastanien
678,379,1,Kastanien
679,380,,Schwefel
680,384,1,Baumwolle
681,384,1,Gallus
682,384,1,Feigen
683,384,1,Weinbeeren
684,384,,Tuch
685,384,,Socken
686,387,2,Heringe
687,388,2,Heringe
688,389,,Krämerei
689,390,1,Weinstein
690,391,1,Buntmacherware
691,391,1,Ochsenspitz
692,392,1,Buntmacherei
693,393,1,Fenchel
694,394,2,Kastanien
695,395,,Weinstein
696,396,1,Federn
697,397,1,Kastanien
698,398,,Krämerei
699,399,,Krämerei
700,401,,Zwirn
701,402,1,Ingwer
702,403,1,Haar
703,406,1,Baumöl
704,406,2,Stockfisch
705,406,2,Heringe
706,406,2,Arsen
707,408,2,Tabak
708,410,,Beschlagenes Gut
709,410,,Safran
710,410,,Juchten
711,411,,Leinwand
712,412,1,Weinstein
713,413,2,Kastanien
714,414,1,Federn
715,414,2,Tabak
716,414,,Alaun
717,415,,Wachs
719,416,,Kastanien
720,416,,Lorbeer
721,417,1,Unschlitt
722,418,,Beschlagenes Gut
723,419,2,Wolle
724,420,2,Kastanien
725,421,2,Öl
726,421,2,Kastanien
727,421,2,Weinstein
728,421,2,Reis
729,421,2,Lorbeer
730,421,2,Weinbeeren
731,421,2,Krämerei
732,421,2,Früchte
733,421,2,Senf
734,421,2,Sardellen
735,421,2,Kapern
736,421,2,Gelbe Erde
737,421,2,Braunrot
738,423,2,Materialwaren
739,423,2,Juchten
740,424,1,Federn
741,424,2,Tabak
743,425,1,Wachs
744,426,1,Federn
745,426,2,Kastanien
746,426,2,Tabak
747,427,1,Federn
748,428,2,Weinstein
749,429,2,Garn (türkisch)
750,429,2,Weinbeeren
751,430,2,Kastanien
752,431,,Pulver
753,431,,Lunten
754,431,,Blei
755,432,,Pulver
756,432,,Lunten
757,432,,Blei
758,435,,Tuch
759,435,,Socken
760,435,2,Kastanien
761,435,2,Tabak
762,437,1,Strümpfe
763,437,1,Wollware
764,437,1,Harrasware
765,439,2,Reis
766,439,2,Weinbeeren
767,439,2,Baumwolle
768,439,2,Mandeln
769,439,2,Krämerei
770,439,2,Wein
771,439,2,Früchte
772,440,2,Kastanien
773,440,2,Eisenwaren
774,441,1,Wolle
775,441,2,Tuch
776,441,2,Baye
777,442,1,Wolle
778,443,,Kastanien
779,443,2,Feigen
780,443,2,Weinbeeren
781,444,2,Kastanien
782,444,2,Weinbeeren
783,444,2,Feigen
784,444,2,Tabak
785,445,2,Kastanien
786,446,2,Tabak
787,448,2,Kastanien
788,450,,Krämerei
789,451,1,Reis
790,452,1,Reis
791,452,1,Käse
792,452,1,Sardellen
793,453,1,Reis
794,454,2,Farbe
795,454,2,Öl
796,454,2,Lorbeer
797,454,2,Früchte
798,454,2,Weinbeeren
799,454,2,Baumwolle
800,454,2,Krämerei
801,454,2,Holzwaren
802,454,2,Kienruß
803,454,2,Kastanien
804,454,2,Erde
805,454,2,Senf
806,454,2,Baumöl
807,455,,Käse (Parmesan)
808,455,,Meeresfisch
809,456,1,Lorbeer
810,457,,Lorbeer
811,457,,Weinstein
812,459,,Kastanien
813,460,1,Lorbeer
814,461,2,Feigen
815,461,,Büchsenstein
816,461,2,Kastanien
817,461,2,Weinbeeren
818,462,1,Seide
819,462,1,Krämerei
820,462,2,Messing
821,462,1,Nürnberger Ware
822,462,1,Spezerei
823,462,1,Leder
824,462,2,Tuch
825,462,1,Farbzeug
826,464,1,Pasta
827,464,1,Kastanien
828,465,1,Kastanien
829,465,1,Pasta
830,466,1,Lorbeer
831,466,1,Kastanien
832,466,1,Öl
833,466,1,Käse
834,466,1,Büchsenstein
835,466,1,Baumöl
836,466,1,Weinbeeren
837,467,1,Käse
838,469,1,Früchte
839,470,1,Leinwand
840,470,1,Haar
841,471,1,Haar
842,471,2,Nüsse
843,471,2,Kastanien
844,471,2,Senf
845,472,2,Taschenmesser
