personen_firmenbeteiligungenId,personenId1,personenId2
335,46584,8490
336,46585,11199
337,46586,26963
338,46587,9740
339,46588,43789
340,46589,15941
341,46590,43790
342,46591,15439
343,46592,23558
344,46593,43792
345,46594,17118
346,28699,20402
347,46595,28699
348,20402,37701
349,46596,22543
350,46597,15550
351,41779,43793
352,41779,43794
353,46598,43797
354,46599,43799
355,43800,46293
357,46602,7607
358,9739,10090
359,46603,26346
360,46605,46604
361,46606,43858
362,46607,36493
363,46608,34421
364,46609,43860
365,46611,43862
367,46613,8271
368,46614,17496
369,46615,16033
370,43820,11130
371,43822,43820
372,43823,43820
373,46616,11130
374,43822,46616
375,11130,46616
376,46617,43822
377,46618,15480
378,46619,29411
379,46620,43824
380,46621,16903
381,46622,43581
382,46623,24326
383,46624,43826
384,46625,8146
385,43827,15470
386,43827,14160
387,46626,9652
388,46627,8187
389,46628,43833
390,46629,8492
391,46630,14422
392,46631,43834
393,46632,9635
394,46633,8324
395,8324,12421
398,37955,40640
399,46634,9468
400,46635,1513
401,43867,1513
402,46636,28298
403,46637,1511
404,43868,43869
405,43870,43869
406,46638,43868
407,46639,8671
408,46640,43871
409,46641,43872
410,46642,27714
411,46643,43874
412,46644,43876
413,46645,8590
414,15430,17119
415,43854,17119
416,46646,22849
417,46647,9606
418,46648,8672
419,46649,43855
421,43856,43850
422,46650,8098
423,46652,46651
424,46653,626
425,46654,23922
426,46655,8273
427,46657,46656
428,46658,8109
429,46659,8588
430,46660,12736
431,46661,28424
432,28424,8802
433,46662,24594
434,46664,46663
435,46666,46664
436,46666,46665
437,44587,26325
438,46667,26325
439,4528,44587
440,46670,46669
441,46672,18406
442,46673,46672
443,46675,46674
444,46678,10181
445,46679,9869
446,46680,20834
447,46681,23395
448,21607,23395
449,46682,8183
450,46683,8183
451,46685,46684
452,46686,9826
453,46688,8489
455,46689,20473
456,46691,11001
457,46693,46692
458,46695,9396
459,46696,18191
460,46698,8334
461,11940,8334
462,46702,46701
463,46703,5563
464,46704,8587
465,46704,24742
466,46708,9224
467,46709,9092
468,46711,46710
469,43974,46711
470,46712,18686
471,23214,9089
472,9089,43793
473,46714,46713
474,46715,38711
475,46717,9686
477,16702,46718
478,46718,11161
479,46718,9824
480,46720,46719
481,46722,22544
482,46725,46724
483,46726,15189
484,46727,29325
485,46728,29325
486,46729,46728
487,46702,43201
488,46730,43201
489,46730,46169
490,46734,46733
491,46736,46735
492,46739,46738
493,46740,46739
494,46743,46169
495,46746,46745
496,46748,46747
497,46749,34454
498,46749,46187
499,46750,46749
500,46752,46749
501,46753,43802
502,43988,43802
503,46754,43988
505,43942,43945
506,43942,43944
507,46761,46760
508,46765,46764
509,46770,46769
510,14663,17801
511,9516,17801
512,20532,17801
513,46775,17801
514,46777,3431
515,46778,3658
516,9686,46778
517,46781,11217
518,46782,8089
519,46783,8089
520,46784,46783
521,46786,12091
522,46787,8266
523,46788,26314
524,46790,17343
525,46792,8811
526,46794,46793
527,46796,46795
528,46797,18870
529,46799,46798
530,46801,46800
531,46802,9014
532,46803,8514
533,46804,13796
534,46807,46806
535,46808,9319
536,46810,46809
537,46812,46811
538,46814,46813
539,46816,46815
540,46817,25095
541,25421,20102
542,18524,20102
543,46819,46818
544,46820,27548
