hauptdokument_kaeufer_name_vkId,id,personenId
348,4025,1036
349,4035,1036
350,4263,1036
351,4264,1036
352,4433,1036
353,4439,1036
354,4448,1036
355,4471,1036
356,5212,1036
357,5220,1036
358,5631,1036
359,7406,1036
360,7429,1036
361,7434,1036
362,7255,1041
363,7242,1070
364,3275,1088
365,2041,1113
366,2187,1113
367,4275,1115
368,4477,1115
369,423,1116
370,423,1117
371,3276,1122
372,3310,1122
373,3382,1122
374,3467,1122
375,3598,1122
376,3660,1122
377,2674,1125
378,2186,1146
379,6650,1147
380,6652,1147
381,6654,1147
382,6656,1147
383,6660,1147
384,6661,1147
385,6667,1147
386,6676,1147
387,6699,1147
388,6700,1147
389,6702,1147
390,6705,1147
391,6709,1147
392,6712,1147
393,6719,1147
394,6720,1147
395,6721,1147
396,6722,1147
397,6723,1147
398,6730,1147
399,6780,1147
400,6878,1147
401,6923,1147
402,6927,1147
403,6929,1147
404,6933,1147
405,6934,1147
406,6937,1147
407,6940,1147
408,7007,1147
409,7215,1147
410,7217,1147
411,7309,1147
412,7345,1147
413,7364,1147
414,7372,1147
415,7376,1147
416,7383,1147
417,7386,1147
418,7387,1147
419,7388,1147
420,232,1149
421,367,1149
422,465,1149
423,7237,1149
424,7238,1149
425,7467,1149
426,7468,1149
427,7469,1149
428,7414,1164
429,3558,1165
430,2902,1167
431,2903,1167
432,2907,1167
433,4050,1168
434,4034,1183
435,5635,1183
436,4026,1184
437,5202,1185
438,2258,1189
439,689,1197
440,2036,1197
441,2038,1197
442,2162,1197
443,4278,1197
444,7440,1197
445,738,1204
446,6912,1220
447,6932,1220
448,2191,1253
449,2191,1254
450,821,1278
451,734,1298
452,2021,1298
453,3100,1310
454,3690,1310
455,3694,1310
456,3749,1310
457,710,1315
458,1780,1315
459,118,1317
460,298,1317
461,447,1317
462,1608,1317
463,1737,1317
464,3982,1321
465,2054,1339
466,6758,1342
467,278,1349
468,466,1349
469,629,1349
470,631,1349
471,875,1349
472,6884,1349
473,7064,1349
474,7241,1349
475,869,1369
476,3541,1375
477,3541,1376
478,3541,1377
479,2616,1386
480,2262,1405
481,1461,1406
482,1494,1406
483,1542,1406
484,1590,1406
485,1635,1406
486,1720,1406
487,1903,1406
488,1944,1406
489,2262,1408
490,1461,1414
491,1494,1414
492,1542,1414
493,1590,1414
494,1635,1414
495,1720,1414
496,1903,1414
497,1944,1414
498,1774,1417
499,6921,1419
500,4836,1434
501,818,1436
502,2227,1436
503,2280,1436
504,2290,1436
505,1753,1440
506,1738,1449
507,91,1463
508,271,1463
509,308,1463
510,333,1463
511,572,1463
512,1304,1463
513,1506,1463
514,389,1489
515,391,1489
516,2890,1497
517,7442,1497
518,1009,1507
519,1167,1507
520,1523,1507
521,1545,1507
522,6748,1508
523,6757,1508
524,6949,1508
525,6748,1510
526,6757,1510
527,6949,1510
528,7024,1516
529,685,1525
530,2035,1525
531,2058,1525
532,2075,1525
533,685,1526
534,2035,1526
535,2058,1526
536,2075,1526
537,7465,1532
538,124,1535
539,449,1535
540,468,1535
541,581,1535
542,638,1535
543,654,1535
544,655,1535
545,657,1535
546,1735,1535
547,7115,1536
548,4245,1541
549,4246,1541
550,4812,1541
551,4813,1541
552,4823,1541
553,7408,1541
554,7409,1541
555,3639,1542
556,3648,1542
557,920,1554
558,923,1554
559,2157,1554
560,2249,1554
561,2261,1554
562,1218,1555
563,6707,1560
564,735,1562
565,841,1566
566,1771,1566
567,841,1568
568,1771,1568
569,2045,1571
570,7167,1574
571,453,1583
572,3977,1585
573,3986,1585
574,4434,1585
575,4438,1585
576,4799,1585
577,5204,1585
578,5226,1585
579,2136,1598
580,731,1606
581,796,1615
582,799,1615
583,6751,1626
584,1681,1628
585,6847,1632
586,3167,1638
587,3232,1638
588,3338,1638
589,3381,1638
590,3446,1638
591,3485,1638
592,3604,1638
593,3676,1638
594,3693,1638
595,3805,1638
596,3867,1638
597,5622,1650
598,5622,1652
599,7464,1653
600,7498,1653
601,6916,1664
602,116,1688
603,157,1688
604,166,1688
605,297,1688
606,314,1688
607,446,1688
608,564,1688
609,630,1688
610,1318,1688
