hauptdokument_verkaeufer_name_vkId,id,personenId
167,3437,309
168,72,318
169,4276,324
170,3065,348
171,3102,348
172,3242,348
173,3280,348
174,3403,348
175,3462,348
176,3750,348
177,3923,348
178,4056,348
179,4113,348
180,4338,348
181,4378,348
182,5136,348
183,5171,348
184,3059,350
185,1434,354
186,3394,360
187,4299,364
188,4793,364
189,4810,364
190,4299,366
191,4793,366
192,4810,366
193,3723,367
194,3908,367
195,4236,367
196,5248,367
197,5258,367
198,5363,367
199,3730,368
200,1341,370
201,5118,373
202,5897,373
203,5118,374
204,5897,374
205,3269,377
206,2936,378
207,2947,379
208,648,397
209,712,397
210,830,397
211,867,397
212,5641,406
213,3143,410
214,3429,410
215,3506,410
216,4382,410
217,1155,411
218,553,417
219,4923,418
220,6015,422
221,3512,433
222,3815,433
223,3148,434
224,1129,435
225,1139,435
226,4994,435
227,5778,435
228,1377,440
229,2716,440
230,2731,440
231,2753,440
232,2585,447
233,997,448
234,2326,448
235,5734,449
236,4915,455
237,2516,457
238,181,458
239,957,458
240,2724,459
241,3621,464
242,3629,464
243,3630,464
244,3737,464
245,5611,464
246,3481,465
247,3651,465
248,3682,465
249,3892,465
250,3893,465
251,3563,466
252,4591,466
253,203,467
254,2692,467
255,203,468
256,2692,468
257,239,469
258,955,469
259,1355,469
260,4574,481
261,379,484
262,379,485
263,1181,486
264,2309,486
265,1181,490
266,2309,490
267,3592,493
268,3622,493
269,3706,493
270,3722,493
271,2809,494
272,5256,495
273,2336,499
274,70,502
275,860,504
276,1776,504
277,860,507
278,1776,507
279,3337,510
280,3339,510
281,3554,510
282,3558,510
283,4570,510
284,5465,510
285,5762,510
286,1440,512
287,2489,512
288,2515,512
289,2541,512
290,2591,512
291,4073,516
292,5191,516
293,5232,516
294,5299,516
295,5341,516
296,5351,516
297,5376,516
298,5384,516
299,5581,516
300,5600,516
301,3034,517
302,3069,517
303,3104,517
304,3124,517
305,3235,517
306,3456,517
307,3886,517
308,3926,517
309,4111,517
310,4199,517
311,4335,517
312,4349,517
313,5109,517
314,5167,517
315,5887,517
316,5888,517
317,5927,517
318,5951,517
319,1378,518
320,1387,518
321,1391,518
322,1417,518
323,1430,518
324,1443,518
325,2464,518
326,2472,518
327,2498,518
328,2502,518
329,2574,518
330,2584,518
331,3127,518
332,3303,518
333,3465,518
334,3486,518
335,3518,518
336,3529,518
337,3534,518
338,3545,518
339,3557,518
340,3560,518
341,3579,518
342,3596,518
343,3605,518
344,3608,518
345,3631,518
346,3637,518
347,3644,518
348,3695,518
349,3708,518
350,3746,518
351,3779,518
352,5138,518
353,1273,523
354,4307,523
355,4333,523
356,4553,523
357,4896,523
358,4942,523
359,5686,523
360,1273,524
361,4307,524
362,4333,524
363,4553,524
364,4896,524
365,4942,524
366,5686,524
367,5045,543
368,1149,553
369,1216,555
370,475,563
371,4880,568
372,941,584
373,1121,584
374,3146,584
375,4302,584
376,4332,584
377,4519,584
378,4902,584
379,4907,584
380,4928,584
381,4946,584
382,5412,584
383,5433,584
384,5699,584
385,5706,584
386,5716,584
387,5892,584
388,987,593
389,1212,598
390,1814,598
391,2303,598
392,2304,599
393,755,600
394,2500,601
395,5076,604
396,521,624
397,537,624
398,741,624
399,1226,624
400,1234,624
401,1459,624
402,1870,624
403,2344,624
404,2403,624
405,2409,624
406,2417,624
407,2420,624
408,1291,630
409,3618,630
410,3073,642
411,3283,642
412,3407,642
413,3412,642
414,4002,642
415,4071,642
416,4106,642
417,4196,642
418,4215,642
419,4643,642
420,5107,642
421,5132,642
422,5142,642
423,5437,646
424,838,648
425,3533,656
426,4391,656
427,4877,656
428,772,667
429,1282,667
430,1346,667
431,2639,667
432,772,668
433,1282,668
434,1346,668
435,2639,668
436,3516,674
437,3812,674
438,3516,675
439,3812,675
440,3516,676
441,3812,676
442,3516,677
443,3812,677
444,3478,679
445,3603,679
446,5782,689
447,5724,691
448,662,693
449,663,693
450,704,693
451,818,693
452,2230,695
453,2902,718
454,3702,727
455,3823,727
456,5441,733
457,5244,734
458,5965,734
459,4288,740
460,3096,755
461,3115,755
462,3205,755
463,3282,755
464,3488,755
465,3862,755
466,3874,755
467,4013,755
468,4099,755
469,4120,755
470,4137,755
471,4151,755
472,4158,755
473,4186,755
474,4194,755
475,4234,755
476,4314,755
477,4330,755
478,4346,755
479,4361,755
480,4589,755
481,4703,755
482,4748,755
483,5085,755
484,5123,755
