hauptdokument_verkaeufer_firmaId,id,firmaInstitutionId
887,7691,257
888,8030,257
889,8599,257
890,8629,257
891,8630,257
892,8669,257
893,8741,257
894,8742,257
895,8743,257
896,8744,257
897,8745,257
898,8751,257
899,8772,257
900,8773,257
901,8774,257
902,9010,257
903,9013,257
904,9015,257
905,9031,257
906,9032,257
907,9033,257
908,9034,257
909,7254,259
910,7270,260
911,7340,262
912,7355,263
913,7362,264
914,7363,264
915,7414,266
916,7453,266
917,7701,266
918,7454,267
919,7994,267
920,7998,267
921,7459,268
922,7482,269
923,7612,269
924,7614,269
925,7615,269
926,7625,269
927,7630,269
928,7631,269
929,7633,269
930,7740,269
931,7752,269
932,7772,269
933,7783,269
934,7825,269
935,7840,269
936,7861,269
937,8078,269
938,8088,269
939,8114,269
940,8140,269
941,8204,269
942,8320,269
943,8465,269
944,8468,269
945,8484,269
946,8500,269
947,8530,269
948,8532,269
949,8534,269
950,8649,269
951,8706,269
952,8707,269
953,8710,269
954,8784,269
955,8795,269
956,8877,269
957,9059,269
958,7519,270
959,8211,270
960,8269,270
961,8456,270
962,7571,271
963,8236,271
964,7603,272
965,8121,272
966,73,273
967,232,273
968,367,273
969,567,273
970,7616,273
971,7618,273
972,7619,273
973,7771,273
974,7775,273
975,8180,273
976,8181,273
977,8184,273
978,8223,273
979,8471,273
980,8611,273
981,8814,273
982,8815,273
983,8841,273
984,8982,273
985,7646,275
986,7931,275
987,7932,275
988,7732,277
989,8205,277
990,8499,277
991,8527,277
992,8675,277
993,8700,277
994,8770,277
995,7787,278
996,8101,278
997,8463,278
998,8481,278
999,8695,278
1000,8837,278
1001,8086,280
1002,8400,280
1003,8536,280
1004,8689,280
1005,8691,280
1006,9049,280
1007,8109,281
1008,8496,281
1009,8575,282
1010,8576,282
1011,8577,282
1012,8578,282
1013,8579,282
1014,8580,282
1015,8581,282
1016,8582,282
1017,8584,282
1018,8619,283
1019,339,284
1020,374,284
1021,520,284
1022,524,284
1023,602,284
1024,1163,284
1025,1205,284
1026,1210,284
1027,1658,284
1028,1827,284
1029,1849,284
1030,1927,284
1031,2328,284
1032,2359,284
