personen_buergeraufnahmeId,personenId,ortsId,datum
316,43919,925,Jänner 1741
317,47370,925,September 1739
318,46138,925,Oktober 1734
319,29664,925,März 1734
320,23655,925,Dezember 1733
321,22697,925,Jänner 1732
322,46107,925,Juli 1730
323,12736,925,August 1729
324,43894,925,Dezember 1728
325,12541,925,Dezember 1728
326,47477,925,Dezember 1728
327,47069,925,Februar 1726
328,43891,925,Februar 1726
329,47405,925,4. August 1725
330,39771,925,4. August 1725
331,43888,925,4. August 1725
332,43997,925,4. August 1725
333,14429,925,23. April 1725
334,8109,925,23. April 1725
335,26346,925,3. Juli 1724
336,9826,925,21. April 1723
337,46115,925,5. Juli 1723
338,9401,925,13. November 1722
339,46321,925,13. November 1722
340,36435,925,13. November 1722
341,24795,925,13. November 1722
342,23505,925,13. November 1722
343,46218,925,20. September 1720
344,47079,925,20. September 1720
345,9481,925,5. März 1720
346,23591,925,24. Februar 1720
347,42612,925,2. März 1716
348,18191,925,14. Jänner 1715
349,24324,925,8. November 1709
350,12358,925,14. März 1711
351,15867,925,27. März 1708
352,46406,925,23. Februar 1706
353,8595,925,06.08.1721
354,46305,925,5. November 1710
355,46196,925,31. Oktober 1703
