personen_verwandtschaftsId,personenId1,verwandschaftsverhaeltnisseId,personenId2
448,8189,10,32558
450,42886,10,8744
451,24831,6,11795
452,40753,14,8816
453,8174,11,8811
454,8811,10,8174
455,8595,10,46701
456,46701,11,8595
457,9128,11,9468
458,9468,10,9128
459,8752,10,13345
460,13345,11,8752
461,24071,10,46112
462,46112,11,24071
463,8489,11,22543
464,22543,10,8489
465,10643,11,8096
466,8096,10,10643
467,17087,10,43473
468,43473,11,17087
469,32558,11,41796
470,41796,10,32558
471,43997,10,15578
472,15578,11,43997
473,10559,10,10691
474,10691,11,10559
475,9090,11,9481
476,9481,10,9090
477,28298,3,1513
478,1513,6,28298
479,8587,10,18440
480,18440,11,8587
481,8923,11,18524
482,18524,10,8923
483,19470,4,8324
484,8324,4,19470
485,1513,11,19817
486,19817,10,1513
487,25454,10,35404
488,35404,11,25454
489,17649,10,47413
490,17649,10,6108
491,6108,11,17649
492,3010,11,22393
493,22393,10,3010
494,39570,10,8186
495,39570,10,46455
496,8186,11,39570
497,46455,16,39570
498,8272,11,13619
499,13619,10,8272
500,8744,11,43201
501,43201,10,8744
502,13619,10,46410
503,46410,11,13619
504,8816,11,12736
505,12736,10,8816
506,34384,11,47406
507,47406,10,34384
508,46980,10,13345
509,13345,11,46980
510,24741,10,7111
511,7111,11,24741
512,21998,10,41221
513,41221,11,21998
514,34965,3,6519
515,8405,6,46942
516,46942,3,8405
517,3578,3,3579
518,48548,6,46908
519,44063,3,15480
520,43824,3,15480
521,43518,6,13785
522,13785,3,43518
523,1112,11,2848
524,2848,10,1112
525,2848,14,8956
526,8956,14,2848
527,42309,3,1842
528,1842,6,42309
529,46305,10,1842
530,9516,3,3603
531,3603,6,14663
532,3603,6,9516
533,14663,3,3603
534,14663,4,9516
535,3601,6,8024
536,3603,3,3601
537,8599,11,23514
538,8599,6,46135
539,23514,10,8599
540,23514,10,8098
541,8098,11,23514
542,46305,11,47366
543,46305,6,43954
544,23646,6,47366
545,47366,3,23646
546,9287,10,2848
547,2848,11,9287
548,4528,10,3764
549,3764,11,4528
550,11795,14,4528
551,11795,14,43918
552,43918,5,11795
553,43918,14,4528
554,460,10,3764
555,3764,11,460
556,7111,4,8599
557,46930,3,8095
558,8095,6,46930
559,10574,14,8405
560,14321,10,17762
561,17762,11,14321
562,4646,14,47568
563,4646,14,47546
564,47546,14,4646
565,8109,4,8273
566,8273,4,8109
567,47120,10,4644
568,4644,11,47120
569,46454,3,8186
570,46454,3,46455
571,41769,4,18524
572,41769,4,25421
573,25421,4,41769
574,18524,4,41769
575,9952,4,5251
576,5251,4,9952
577,43201,10,9344
